Time,i-c1.S,i-c1.E,i-c1.P,i-c1.Iu,i-c1.Ic,i-c1.Ru,i-c1.Rc,i-c1.D,i-c1.cases,i-c1.Phase
247.400000,59949131.987025,6914.213903,1899.977011,13060.182533,10147.214387,229422.150805,220134.141270,31118.133065,245488.319764,3.000000
247.500000,59949012.399030,6861.599908,1883.023658,12988.840069,10175.848575,229544.584775,220229.659103,31132.044882,245618.568668,3.000000
247.600000,59948893.044858,6810.054153,1866.444943,12917.250272,10203.486674,229666.346942,220325.441457,31145.930703,245748.102888,3.000000
247.700000,59948773.930437,6759.544404,1850.230236,12845.454611,10230.136340,229787.435174,220421.479004,31159.789795,245876.920156,3.000000
247.800000,59948655.061455,6710.039461,1834.369165,12773.492693,10255.805557,229907.847724,220517.762489,31173.621457,246005.018614,3.000000
247.900000,59948536.443370,6661.509121,1818.851612,12701.402327,10280.502616,230027.583205,220614.282735,31187.425014,246132.396785,3.000000
248.000000,59948418.081417,6613.924149,1803.667718,12629.219583,10304.236091,230146.640579,220711.030643,31201.199819,246259.053566,3.000000
248.100000,59948299.980615,6567.256245,1788.807876,12556.978855,10327.014822,230265.019140,220807.997196,31214.945252,246384.988205,3.000000
248.200000,59948182.145770,6521.478015,1774.262732,12484.712914,10348.847896,230382.718495,220905.173461,31228.660717,246510.200285,3.000000
248.300000,59948064.581489,6476.562940,1760.023181,12412.452971,10369.744627,230499.738554,221002.550594,31242.345644,246634.689709,3.000000
248.400000,59947947.292180,6432.485354,1746.080364,12340.228727,10389.714539,230616.079513,221100.119836,31255.999487,246758.456687,3.000000
248.500000,59947830.282063,6389.220408,1732.425663,12268.068432,10408.767352,230731.741841,221197.872519,31269.621721,246881.501717,3.000000
248.600000,59947713.555173,6346.744051,1719.050701,12195.998934,10426.912959,230846.726263,221295.800071,31283.211847,247003.825570,3.000000
248.700000,59947597.115367,6305.033001,1705.947334,12124.045730,10444.161420,230961.033754,221393.894008,31296.769385,247125.429284,3.000000
248.800000,59947480.966330,6264.064720,1693.107648,12052.233019,10460.522939,231074.665520,221492.145946,31310.293877,247246.314142,3.000000
248.900000,59947365.111581,6223.817391,1680.523956,11980.583748,10476.007855,231187.622990,221590.547596,31323.784885,247366.481663,3.000000
249.000000,59947249.554477,6184.269897,1668.188789,11909.119658,10490.626623,231299.907802,221689.090765,31337.241990,247485.933590,3.000000
249.100000,59947134.298220,6145.401794,1656.094899,11837.861332,10504.389809,231411.521793,221787.767362,31350.664793,247604.671878,3.000000
249.200000,59947019.345861,6107.193292,1644.235246,11766.828238,10517.308070,231522.466988,221886.569392,31364.052914,247722.698682,3.000000
249.300000,59946904.700306,6069.625234,1632.602997,11696.038771,10529.392146,231632.745593,221985.488964,31377.405989,247840.016346,3.000000
249.400000,59946790.364318,6032.679076,1621.191524,11625.510296,10540.652850,231742.359977,222084.518287,31390.723673,247956.627393,3.000000
249.500000,59946676.340527,5996.336865,1609.994391,11555.259186,10551.101053,231851.312672,222183.649671,31404.005635,248072.534516,3.000000
249.600000,59946562.631428,5960.581223,1599.005359,11485.300864,10560.747676,231959.606357,222282.875531,31417.251564,248187.740564,3.000000
249.700000,59946449.239391,5925.395324,1588.218373,11415.649836,10569.603682,232067.243853,222382.188381,31430.461160,248302.248538,3.000000
249.800000,59946336.166662,5890.762883,1577.627562,11346.319735,10577.680064,232174.228112,222481.580841,31443.634142,248416.061579,3.000000
249.900000,59946223.415368,5856.668131,1567.227232,11277.323347,10584.987836,232280.562211,222581.045634,31456.770242,248529.182961,3.000000
250.000000,59946110.987522,5823.095804,1557.011861,11208.672651,10591.538027,232386.249343,222680.575587,31469.869205,248641.616081,3.000000
250.100000,59945998.885024,5790.031125,1546.976097,11140.378851,10597.341672,232491.292812,222780.163629,31482.930790,248753.364451,3.000000
250.200000,59945887.109669,5757.459786,1537.114751,11072.452408,10602.409802,232595.696019,222879.802795,31495.954772,248864.431694,3.000000
250.300000,59945775.663145,5725.367936,1527.422792,11004.903067,10606.753440,232699.462466,222979.486221,31508.940934,248974.821531,3.000000
250.400000,59945664.547043,5693.742166,1517.895345,10937.739891,10610.383594,232802.595739,223079.207149,31521.889074,249084.537778,3.000000
250.500000,59945553.762855,5662.569492,1508.527683,10870.971290,10613.311248,232905.099507,223178.958923,31534.799002,249193.584340,3.000000
250.600000,59945443.311981,5631.837344,1499.315228,10804.605044,10615.547357,233006.977517,223278.734991,31547.670539,249301.965202,3.000000
250.700000,59945333.195729,5601.533552,1490.253541,10738.648334,10617.102841,233108.233585,223378.528903,31560.503517,249409.684423,3.000000
250.800000,59945223.415320,5571.646332,1481.338322,10673.107765,10617.988583,233208.871590,223478.334311,31573.297777,249516.746131,3.000000
250.900000,59945113.971892,5542.164274,1472.565403,10607.989394,10618.215418,233308.895474,223578.144971,31586.053174,249623.154518,3.000000
251.000000,59945004.866501,5513.076331,1463.930748,10543.298750,10617.794130,233408.309232,223677.954739,31598.769569,249728.913835,3.000000
251.100000,59944896.100123,5484.371808,1455.430444,10479.040859,10616.735451,233507.116908,223777.757573,31611.446835,249834.028383,3.000000
251.200000,59944787.673659,5456.040345,1447.060701,10415.220268,10615.050052,233605.322590,223877.547531,31624.084855,249938.502514,3.000000
251.300000,59944679.587936,5428.071914,1438.817848,10351.841062,10612.748541,233702.930410,223977.318771,31636.683518,250042.340620,3.000000
251.400000,59944571.843712,5400.456803,1430.698327,10288.906889,10609.841460,233799.944534,224077.065551,31649.242725,250145.547134,3.000000
251.500000,59944464.441675,5373.185608,1422.698693,10226.420977,10606.339278,233896.369159,224176.782227,31661.762383,250248.126523,3.000000
251.600000,59944357.382447,5346.249222,1414.815608,10164.386155,10602.252393,233992.208514,224276.463254,31674.242407,250350.083284,3.000000
251.700000,59944250.666587,5319.638825,1407.045839,10102.804871,10597.591123,234087.466850,224376.103183,31686.682722,250451.421939,3.000000
251.800000,59944144.294593,5293.345877,1399.386253,10041.679208,10592.365708,234182.148440,224475.696664,31699.083258,250552.147035,3.000000
251.900000,59944038.266901,5267.362106,1391.833816,9981.010902,10586.586304,234276.257577,224575.238440,31711.443955,250652.263138,3.000000
